<<<<<<< HEAD
Unit,multiplier,measure,quarter_end,value,project,year
$,Million,Earnings from operations (millions),9/30/12,71,Los Filos,2012
$,Million,Expenditures on mining interests (millions),9/30/12,16,Los Filos,2012
 ,Actual,Tonnes of ore milled,9/30/12,489100,Marlin,2012
 ,Actual,Average mill head grade (Au grams/tonne),9/30/12,3.25,Marlin,2012
 ,Actual,Average mill head grade (Ag grams/tonne),9/30/12,111,Marlin,2012
 ,Actual,Average gold recovery rate %,9/30/12,0.96,Marlin,2012
 ,Actual,Average silver recovery rate %,9/30/12,0.91,Marlin,2012
 ,Actual,Gold (ounces) produced,9/30/12,47900,Marlin,2012
 ,Actual,Silver (ounces) produced,9/30/12,1523300,Marlin,2012
 ,Actual,Gold (ounces) sold,9/30/12,49500,Marlin,2012
 ,Actual,Silver (ounces) sold,9/30/12,1567000,Marlin,2012
$,Actual,All-in sustaining costs (per ounce),9/30/12,483,Marlin,2012
$,Actual,By-product cash costs (per gold ounce),9/30/12,40,Marlin,2012
$,Million,Revenues (millions),9/30/12,130,Marlin,2012
$,Million,Depreciation and depletion (millions),9/30/12,26,Marlin,2012
$,Million,Earnings from operations (millions),9/30/12,52,Marlin,2012
$,Million,Expenditures on mining interests (millions),9/30/12,20,Marlin,2012
 ,Actual,Tonnes of ore mined,9/30/12,3252900,Alumbrera,2012
 ,Actual,Tonnes of waste removed,9/30/12,6853000,Alumbrera,2012
 ,Actual,Ratio of waste to ore,9/30/12,2.1,Alumbrera,2012
 ,Actual,Tonnes of ore milled,9/30/12,3815200,Alumbrera,2012
 ,Actual,Average mill head grade (Au grams/tonne),9/30/12,0.45,Alumbrera,2012
 ,Actual,Average mill head grade (Copper %),9/30/12,0.0044,Alumbrera,2012
 ,Actual,Average gold recovery rate %,9/30/12,0.74,Alumbrera,2012
 ,Actual,Average copper recovery rate %,9/30/12,0.85,Alumbrera,2012
 ,Actual,Gold (ounces) produced,9/30/12,40500,Alumbrera,2012
 ,Thousand,Copper (thousands of pounds) produced,9/30/12,31200,Alumbrera,2012
 ,Actual,Gold (ounces) sold,9/30/12,55700,Alumbrera,2012
 ,Thousand,Copper (thousands of pounds) sold,9/30/12,44300,Alumbrera,2012
$,Actual,All-in sustaining costs (per gold ounce),9/30/12,-434,Alumbrera,2012
$,Actual,By-product cash costs (per gold ounce),9/30/12,-628,Alumbrera,2012
$,Million,Revenues (millions),9/30/12,256,Alumbrera,2012
$,Million,Depreciation and depletion (millions),9/30/12,25,Alumbrera,2012
$,Million,Earnings from operations (millions),9/30/12,103,Alumbrera,2012
$,Million,Expenditures on mining interests (millions),9/30/12,16,Alumbrera,2012
 ,Actual,Tonnes of ore mined,9/30/12,1019900,Pueblo Viejo,2012
 ,Actual,Tonnes of waste removed,9/30/12,648100,Pueblo Viejo,2012
 ,Actual,Tonnes of ore processed,9/30/12,89400,Pueblo Viejo,2012
 ,Actual,Average grade - gold,9/30/12,0.57,Pueblo Viejo,2012
 ,Actual,Average gold recovey rate %,9/30/12,0.61,Pueblo Viejo,2012
 ,Actual,Gold (ounces) produced,9/30/12,1000,Pueblo Viejo,2012
 ,Actual,Gold (ounces) sold,9/30/12,0,Pueblo Viejo,2012
$,Actual,By-product cash cost (per gold ounce),9/30/12,0,Pueblo Viejo,2012
$,Million,Revenues,9/30/12,0,Pueblo Viejo,2012
$,Million,Depreciation and depletion,9/30/12,0,Pueblo Viejo,2012
$,Million,Earnings (loss) from operations,9/30/12,0,Pueblo Viejo,2012
$,Million,Expenditures on mining interests,9/30/12,84,Pueblo Viejo,2012
 ,Actual,Tonnes of ore mined,9/30/12,1972800,Marigold,2012
 ,Actual,Tonnes of waste removed,9/30/12,6157000,Marigold,2012
 ,Actual,Tonnes of ore processed,9/30/12,1972900,Marigold,2012
 ,Actual,Average grade processed (Au grams/tonne),9/30/12,0.46,Marigold,2012
 ,Actual,Average gold recovery rate %,9/30/12,0.73,Marigold,2012
 ,Actual,Gold (ounces) produced,9/30/12,22600,Marigold,2012
 ,Actual,Gold (ounces) sold,9/30/12,23000,Marigold,2012
$,Actual,All-in sustaining costs (per ounce),9/30/12,1509,Marigold,2012
$,Actual,By-product cash costs (per gold ounce),9/30/12,839,Marigold,2012
$,Million,Revenues (millions),9/30/12,38,Marigold,2012
$,Million,Depreciation and depletion (millions),9/30/12,3,Marigold,2012
$,Million,Earnings from operations (millions),9/30/12,14,Marigold,2012
$,Million,Expenditures on mining interests (millions),9/30/12,13,Marigold,2012
 ,Actual,Tonnes of ore mined,9/30/12,529300,El Sauzal,2012
 ,Actual,Tonnes of waste removed,9/30/12,2776300,El Sauzal,2012
 ,Actual,Tonnes of ore processed,9/30/12,464600,El Sauzal,2012
 ,Actual,Average mill head grade (Au grams/tonne),9/30/12,1.11,El Sauzal,2012
 ,Actual,Average gold recovery rate %,9/30/12,0.94,El Sauzal,2012
 ,Actual,Gold (ounces) produced,9/30/12,15500,El Sauzal,2012
 ,Actual,Gold (ounces) sold,9/30/12,16800,El Sauzal,2012
$,Actual,All-in sustaining costs (per ounce),9/30/12,988,El Sauzal,2012
$,Actual,By-product cash costs (per gold ounce),9/30/12,806,El Sauzal,2012
$,Million,Revenues (millions),9/30/12,28,El Sauzal,2012
$,Million,Depreciation and depletion (millions),9/30/12,8,El Sauzal,2012
$,Million,Earnings from operations (millions),9/30/12,6,El Sauzal,2012
$,Million,Expenditures on mining interests (millions),9/30/12,2,El Sauzal,2012
 ,Actual,Tonnes of ore mined,9/30/12,566100,Wharf,2012
 ,Actual,Tonnes of ore processed,9/30/12,842800,Wharf,2012
 ,Actual,Average grade processed (Au grams/tonne),9/30/12,0.72,Wharf,2012
 ,Actual,Average gold recovery rate %,9/30/12,0.78,Wharf,2012
 ,Actual,Gold (ounces) produced,9/30/12,19500,Wharf,2012
 ,Actual,Gold (ounces) sold,9/30/12,20100,Wharf,2012
$,Actual,All-in sustaining costs (per ounce),9/30/12,875,Wharf,2012
$,Actual,By-product cash costs (per gold ounce),9/30/12,595,Wharf,2012
$,Million,Revenues (millions),9/30/12,35,Wharf,2012
$,Million,Depreciation and depletion (millions),9/30/12,1,Wharf,2012
$,Million,Earnings from operations (millions),9/30/12,20,Wharf,2012
$,Million,Expenditures on mining interests (millions),9/30/12,1,Wharf,2012
 ,Actual,Gold (ounces) produced,12/31/12,672100,Total,2012
 ,Actual,Silver (ounces) produced,12/31/12,7158600,Total,2012
 ,Thousand,Copper (thousands of pounds) produced,12/31/12,25400,Total,2012
 ,Thousand,Lead (thousands of pounds) produced,12/31/12,29200,Total,2012
 ,Thousand,Zinc (thousands of pounds) produced,12/31/12,67000,Total,2012
 ,Actual,Gold (ounces) sold,12/31/12,616500,Total,2012
$,Actual,Average realized gold price (per ounce),12/31/12,1692,Total,2012
$,Actual,All-in sustaining costs $/oz (per gold ounce) (from continuing operations),12/31/12,895,Total,2012
$,Actual,By-product cash costs $/oz (per gold ounce) (from continuing operations),12/31/12,337,Total,2012
$,Actual,Co-product cash costs $/oz (per gold ounce) (from continuing operations),12/31/12,611,Total,2012
$,Million,Revenues (Adjusted),12/31/12,1387,Total,2012
$,Million,Revenues (GAAP),12/31/12,1197,Total,2012
$,Million,Net (Loss) Earnings,12/31/12,504,Total,2012
 ,Actual,Tonnes of ore mined,12/31/12,214000,Red Lake,2012
 ,Actual,Average mill head grade (Au grams/tonne),12/31/12,26.67,Red Lake,2012
 ,Actual,Average gold recovery rate %,12/31/12,0.96,Red Lake,2012
 ,Actual,Gold (ounces) produced,12/31/12,168300,Red Lake,2012
 ,Actual,Gold (ounces) sold,12/31/12,170100,Red Lake,2012
$,Actual,All-in sustaining costs (per gold ounce),12/31/12,749,Red Lake,2012
$,Actual,By-product cash costs (per gold ounce),12/31/12,403,Red Lake,2012
$,Million,Revenues (millions),12/31/12,292,Red Lake,2012
$,Million,Depreciation and depletion (millions),12/31/12,27,Red Lake,2012
$,Million,Earnings from operations (millions),12/31/12,199,Red Lake,2012
$,Million,Expenditures on mining interests (millions),12/31/12,80,Red Lake,2012
 ,Actual,Tonnes of ore milled,12/31/12,1084100,Porcupine,2012
 ,Actual,Average mill head grade (Au grams/tonne),12/31/12,2.35,Porcupine,2012
 ,Actual,Average gold recovery rate %,12/31/12,0.93,Porcupine,2012
 ,Actual,Gold (ounces) produced,12/31/12,74100,Porcupine,2012
 ,Actual,Gold (ounces) sold,12/31/12,75100,Porcupine,2012
$,Actual,All-in sustaining costs (per ounce),12/31/12,1157,Porcupine,2012
$,Actual,By-product cash costs (per gold ounce),12/31/12,750,Porcupine,2012
$,Million,Revenues (millions),12/31/12,128,Porcupine,2012
$,Million,Depreciation and depletion (millions),12/31/12,13,Porcupine,2012
$,Million,Earnings from operations (millions),12/31/12,-28,Porcupine,2012
$,Million,Expenditures on mining interests (millions),12/31/12,33,Porcupine,2012
 ,Actual,Tonnes of ore milled,12/31/12,324600,Musselwhite,2012
 ,Actual,Average mill head grade (Au grams/tonne),12/31/12,6.52,Musselwhite,2012
 ,Actual,Average gold recovery rate %,12/31/12,0.96,Musselwhite,2012
 ,Actual,Gold (ounces) produced,12/31/12,64000,Musselwhite,2012
 ,Actual,Gold (ounces) sold,12/31/12,63700,Musselwhite,2012
$,Actual,All-in sustaining costs (per ounce),12/31/12,1080,Musselwhite,2012
$,Actual,By-product cash costs (per gold ounce),12/31/12,693,Musselwhite,2012
$,Million,Revenues (millions),12/31/12,109,Musselwhite,2012
$,Million,Depreciation and depletion (millions),12/31/12,11,Musselwhite,2012
$,Million,Earnings from operations (millions),12/31/12,51,Musselwhite,2012
$,Million,Expenditures on mining interests (millions),12/31/12,22,Musselwhite,2012
 ,Actual,Tonnes of ore mined,12/31/12,12480000,Penasquito,2012
 ,Actual,Tonnes of waste removed,12/31/12,31442300,Penasquito,2012
 ,Actual,Average head grade (Au grams/tonne),12/31/12,0.55,Penasquito,2012
 ,Actual,Average head grade (Ag grams/tonne),12/31/12,24.41,Penasquito,2012
 ,Actual,Average head grade (Pb%),12/31/12,0.0023,Penasquito,2012
 ,Actual,Average head grade (Zn%),12/31/12,0.0052,Penasquito,2012
 ,Actual,Sulphide Ore - Tonnes of ore milled,12/31/12,9087200,Penasquito,2012
 ,Actual,Gold average recovery rate (%),12/31/12,0.68,Penasquito Sulphide,2012
 ,Actual,Silver average recovery rate (%),12/31/12,0.76,Penasquito Sulphide,2012
 ,Actual,Lead average recovery rate (%),12/31/12,0.67,Penasquito Sulphide,2012
 ,Actual,Zinc average recovery rate (%),12/31/12,0.76,Penasquito Sulphide,2012
 ,Actual,Gold (ounces) produced,12/31/12,112900,Penasquito,2012
 ,Actual,Silver (ounces) produced,12/31/12,5200400,Penasquito,2012
 ,Thousand,Lead (thousands of pounds) produced,12/31/12,29200,Penasquito,2012
 ,Thousand,Zinc (thousands of pounds) produced,12/31/12,67000,Penasquito,2012
 ,Actual,Gold (ounces) sold,12/31/12,90400,Penasquito,2012
 ,Actual,Silver (ounces) sold,12/31/12,4605300,Penasquito,2012
 ,Thousand,Lead (thousands of pounds) sold,12/31/12,23600,Penasquito,2012
 ,Thousand,Zinc (thousands of pounds) sold,12/31/12,73600,Penasquito,2012
$,Actual,All-in sustaining costs (per ounce),12/31/12,816,Penasquito,2012
$,Actual,By-product cash costs (per gold ounce),12/31/12,17,Penasquito,2012
$,Actual,General admistrative cost per tonne,12/31/12,2.44,Penasquito,2012
$,Million,Revenues (millions),12/31/12,313,Penasquito,2012
$,Million,Depreciation and depletion (millions),12/31/12,44,Penasquito,2012
$,Million,Earnings (Loss) from operations (millions),12/31/12,96,Penasquito,2012
$,Million,Expenditures on mining interests (millions),12/31/12,68,Penasquito,2012
 ,Actual,Tonnes of ore mined,12/31/12,8319900,Los Filos,2012
 ,Actual,Tonnes of waste removed,12/31/12,11170300,Los Filos,2012
 ,Actual,Ratio of waste to ore,12/31/12,1.3,Los Filos,2012
 ,Actual,Tonnes of ore processed,12/31/12,8424800,Los Filos,2012
 ,Actual,Average grade processed (Au grams/tonne),12/31/12,0.7,Los Filos,2012
 ,Actual,Average gold recovery rate %,12/31/12,0.48,Los Filos,2012
 ,Actual,Gold (ounces) produced,12/31/12,92800,Los Filos,2012
 ,Actual,Gold (ounces) sold,12/31/12,92200,Los Filos,2012
$,Actual,All-in sustaining costs (per ounce),12/31/12,797,Los Filos,2012
$,Actual,By-product cash costs (per gold ounce),12/31/12,572,Los Filos,2012
$,Million,Revenues (millions),12/31/12,157,Los Filos,2012
$,Million,Depreciation and depletion (millions),12/31/12,11,Los Filos,2012
$,Million,Earnings from operations (millions),12/31/12,92,Los Filos,2012
$,Million,Expenditures on mining interests (millions),12/31/12,25,Los Filos,2012
 ,Actual,Tonnes of ore milled,12/31/12,481700,Marlin,2012
 ,Actual,Average mill head grade (Au grams/tonne),12/31/12,3.27,Marlin,2012
 ,Actual,Average mill head grade (Ag grams/tonne),12/31/12,122,Marlin,2012
 ,Actual,Average gold recovery rate %,12/31/12,0.96,Marlin,2012
 ,Actual,Average silver recovery rate %,12/31/12,0.92,Marlin,2012
 ,Actual,Gold (ounces) produced,12/31/12,49500,Marlin,2012
 ,Actual,Silver (ounces) produced,12/31/12,1780900,Marlin,2012
 ,Actual,Gold (ounces) sold,12/31/12,47300,Marlin,2012
 ,Actual,Silver (ounces) sold,12/31/12,1707500,Marlin,2012
$,Actual,All-in sustaining costs (per ounce),12/31/12,462,Marlin,2012
$,Actual,By-product cash costs (per gold ounce),12/31/12,-182,Marlin,2012
$,Million,Revenues (millions),12/31/12,136,Marlin,2012
$,Million,Depreciation and depletion (millions),12/31/12,28,Marlin,2012
$,Million,Earnings from operations (millions),12/31/12,60,Marlin,2012
$,Million,Expenditures on mining interests (millions),12/31/12,31,Marlin,2012
 ,Actual,Tonnes of ore mined,12/31/12,2936600,Alumbrera,2012
 ,Actual,Tonnes of waste removed,12/31/12,6126500,Alumbrera,2012
 ,Actual,Ratio of waste to ore,12/31/12,2.1,Alumbrera,2012
 ,Actual,Tonnes of ore milled,12/31/12,3915500,Alumbrera,2012
 ,Actual,Average mill head grade (Au grams/tonne),12/31/12,0.35,Alumbrera,2012
 ,Actual,Average mill head grade (Copper %),12/31/12,0.0034,Alumbrera,2012
 ,Actual,Average gold recovery rate %,12/31/12,0.71,Alumbrera,2012
 ,Actual,Average copper recovery rate %,12/31/12,0.85,Alumbrera,2012
 ,Actual,Gold (ounces) produced,12/31/12,31800,Alumbrera,2012
 ,Thousand,Copper (thousands of pounds) produced,12/31/12,25400,Alumbrera,2012
 ,Actual,Gold (ounces) sold,12/31/12,40600,Alumbrera,2012
 ,Thousand,Copper (thousands of pounds) sold,12/31/12,33400,Alumbrera,2012
$,Actual,All-in sustaining costs (per gold ounce),12/31/12,-29,Alumbrera,2012
$,Actual,By-product cash costs (per gold ounce),12/31/12,-894,Alumbrera,2012
$,Million,Revenues (millions),12/31/12,189,Alumbrera,2012
$,Million,Depreciation and depletion (millions),12/31/12,21,Alumbrera,2012
$,Million,Earnings from operations (millions),12/31/12,84,Alumbrera,2012
$,Million,Expenditures on mining interests (millions),12/31/12,36,Alumbrera,2012
 ,Actual,Tonnes of ore mined,12/31/12,1466700,Pueblo Viejo,2012
 ,Actual,Tonnes of waste removed,12/31/12,469200,Pueblo Viejo,2012
 ,Actual,Tonnes of ore processed,12/31/12,206700,Pueblo Viejo,2012
 ,Actual,Average grade - gold,12/31/12,6.99,Pueblo Viejo,2012
 ,Actual,Average gold recovey rate %,12/31/12,0.94,Pueblo Viejo,2012
 ,Actual,Gold (ounces) produced,12/31/12,43700,Pueblo Viejo,2012
 ,Actual,Gold (ounces) sold,12/31/12,6320,Pueblo Viejo,2012
$,Actual,All-in sustaining costs (per gold ounce),12/31/12,0,Pueblo Viejo,2012
$,Actual,By-product cash cost (per gold ounce),12/31/12,0,Pueblo Viejo,2012
$,Million,Revenues,12/31/12,0,Pueblo Viejo,2012
$,Million,Depreciation and depletion,12/31/12,0,Pueblo Viejo,2012
$,Million,Earnings (loss) from operations,12/31/12,0,Pueblo Viejo,2012
$,Million,Expenditures on mining interests,12/31/12,129,Pueblo Viejo,2012
 ,Actual,Tonnes of ore mined,12/31/12,2396800,Marigold,2012
 ,Actual,Tonnes of waste removed,12/31/12,6862500,Marigold,2012
 ,Actual,Tonnes of ore processed,12/31/12,2396800,Marigold,2012
 ,Actual,Average grade processed (Au grams/tonne),12/31/12,0.65,Marigold,2012
 ,Actual,Average gold recovery rate %,12/31/12,0.73,Marigold,2012
 ,Actual,Gold (ounces) produced,12/31/12,28300,Marigold,2012
 ,Actual,Gold (ounces) sold,12/31/12,28600,Marigold,2012
$,Actual,All-in sustaining costs (per ounce),12/31/12,1295,Marigold,2012
$,Actual,By-product cash costs (per gold ounce),12/31/12,847,Marigold,2012
$,Million,Revenues (millions),12/31/12,48,Marigold,2012
$,Million,Depreciation and depletion (millions),12/31/12,7,Marigold,2012
$,Million,Earnings from operations (millions),12/31/12,18,Marigold,2012
$,Million,Expenditures on mining interests (millions),12/31/12,12,Marigold,2012
 ,Actual,Tonnes of ore mined,12/31/12,595900,El Sauzal,2012
 ,Actual,Tonnes of waste removed,12/31/12,2774400,El Sauzal,2012
 ,Actual,Tonnes of ore processed,12/31/12,471900,El Sauzal,2012
 ,Actual,Average mill head grade (Au grams/tonne),12/31/12,1.51,El Sauzal,2012
 ,Actual,Average gold recovery rate %,12/31/12,0.93,El Sauzal,2012
 ,Actual,Gold (ounces) produced,12/31/12,21300,El Sauzal,2012
 ,Actual,Gold (ounces) sold,12/31/12,21900,El Sauzal,2012
$,Actual,All-in sustaining costs (per ounce),12/31/12,932,El Sauzal,2012
$,Actual,By-product cash costs (per gold ounce),12/31/12,856,El Sauzal,2012
$,Million,Revenues (millions),12/31/12,38,El Sauzal,2012
$,Million,Depreciation and depletion (millions),12/31/12,9,El Sauzal,2012
$,Million,Earnings from operations (millions),12/31/12,9,El Sauzal,2012
$,Million,Expenditures on mining interests (millions),12/31/12,1,El Sauzal,2012
 ,Actual,Tonnes of ore mined,12/31/12,1390700,Wharf,2012
 ,Actual,Tonnes of ore processed,12/31/12,751200,Wharf,2012
 ,Actual,Average grade processed (Au grams/tonne),12/31/12,0.77,Wharf,2012
 ,Actual,Average gold recovery rate %,12/31/12,0.8,Wharf,2012
 ,Actual,Gold (ounces) produced,12/31/12,13700,Wharf,2012
 ,Actual,Gold (ounces) sold,12/31/12,15200,Wharf,2012
$,Actual,All-in sustaining costs (per ounce),12/31/12,1141,Wharf,2012
$,Actual,By-product cash costs (per gold ounce),12/31/12,849,Wharf,2012
$,Million,Revenues (millions),12/31/12,25,Wharf,2012
$,Million,Depreciation and depletion (millions),12/31/12,0,Wharf,2012
$,Million,Earnings from operations (millions),12/31/12,12,Wharf,2012
$,Million,Expenditures on mining interests (millions),12/31/12,3,Wharf,2012
 ,Actual,Gold (ounces) produced,3/31/13,570400,Total,2013
 ,Actual,Silver (ounces) produced,3/31/13,5633400,Total,2013
 ,Thousand,Copper (thousands of pounds) produced,3/31/13,18800,Total,2013
 ,Thousand,Lead (thousands of pounds) produced,3/31/13,29100,Total,2013
 ,Thousand,Zinc (thousands of pounds) produced,3/31/13,52000,Total,2013
 ,Actual,Gold (ounces) sold,3/31/13,563400,Total,2013
$,Actual,Average realized gold price (per ounce),3/31/13,1622,Total,2013
$,Actual,All-in sustaining costs $/oz (per gold ounce) (from continuing operations),3/31/13,1113,Total,2013
$,Actual,By-product cash costs $/oz (per gold ounce) (from continuing operations),3/31/13,543,Total,2013
$,Actual,Co-product cash costs $/oz (per gold ounce) (from continuing operations),3/31/13,698,Total,2013
$,Million,Revenues (Adjusted),3/31/13,1168,Total,2013
$,Million,Revenues (GAAP),3/31/13,946,Total,2013
$,Million,Net (Loss) Earnings,3/31/13,309,Total,2013
 ,Actual,Tonnes of ore mined,3/31/13,196900,Red Lake,2013
 ,Actual,Average mill head grade (Au grams/tonne),3/31/13,22.91,Red Lake,2013
 ,Actual,Average gold recovery rate %,3/31/13,0.96,Red Lake,2013
 ,Actual,Gold (ounces) produced,3/31/13,145500,Red Lake,2013
 ,Actual,Gold (ounces) sold,3/31/13,135100,Red Lake,2013
$,Actual,All-in sustaining costs (per gold ounce),3/31/13,780,Red Lake,2013
$,Actual,By-product cash costs (per gold ounce),3/31/13,476,Red Lake,2013
$,Actual,Mining cost per tonne,3/31/13,265.07,Red Lake,2013
$,Actual,Milling cost per tonne,3/31/13,48.06,Red Lake,2013
$,Million,Revenues (millions),3/31/13,221,Red Lake,2013
$,Million,Depreciation and depletion (millions),3/31/13,27,Red Lake,2013
$,Million,Earnings from operations (millions),3/31/13,126,Red Lake,2013
$,Million,Expenditures on mining interests (millions),3/31/13,65,Red Lake,2013
 ,Actual,Tonnes of ore milled,3/31/13,1036700,Porcupine,2013
